feature,class_label,class_number
"[-4.1542465e+02  1.1890836e+02 -1.0475949e+02  2.4294622e+01
 -1.9978064e+01 -4.8570576e-01 -1.1980801e+01  1.1485501e+01
 -2.6256177e-01 -7.2262869e+00  6.8554492e+00 -4.2383418e+00
  1.1867721e+01 -2.7769375e+00  2.1217377e+00 -2.6373386e+00
 -3.6719444e-01  1.6173469e-01 -1.0012254e+00  1.1583397e+00
 -4.1946769e+00  5.7366657e+00 -2.8120406e+00  3.1989953e-01
  1.9093671e+00  6.3231957e-01 -1.1854887e+00 -2.4036403e+00
  1.4426509e+00 -5.7172656e-01  2.2449334e+00 -8.5855013e-01
  7.0267028e-01 -3.1985015e-01  4.1044122e-01 -2.5187333e+00
 -2.7885652e+00  2.6166978e+00 -1.4519862e+00 -2.2733076e-01]",cliswa,0
"[-3.9298389e+02  1.0854773e+02 -1.0875539e+02  7.0109396e+00
 -1.2746999e+01  2.8057122e-01 -4.7373209e+00  1.2566832e+01
 -3.4148023e-01 -6.0699449e+00  2.9338694e+00 -4.2243295e+00
  1.4949472e+01 -2.1894376e+00  2.4936692e-01 -1.4168247e+00
 -2.1558070e+00  2.9758401e+00 -6.5261930e-01 -2.7163097e-01
 -1.9920145e+00  6.4052482e+00 -2.2630522e+00 -8.6399382e-01
  4.6045704e+00  1.7347655e+00 -2.8279760e+00 -2.9100778e+00
  2.4063275e+00 -8.6540008e-01  2.0818624e+00  1.1340811e+00
  6.0966218e-01 -9.3234706e-01 -1.3375892e-01  4.7132990e-01
 -3.4185550e+00  2.2124280e-01  3.3640456e-01  6.9973028e-01]",cliswa,0
"[-3.8360422e+02  1.0293317e+02 -1.1718468e+02  2.3236774e+01
 -2.2436371e+01  3.0901521e-01 -7.6776373e-01  1.2084652e+01
 -2.8758228e-01 -5.9893632e+00  4.3285599e+00 -6.2212672e+00
  1.5135969e+01 -2.8578258e+00  7.2109365e-01 -2.5969346e+00
 -1.5007309e+00  4.9514279e+00 -2.9090967e+00  5.5824913e-02
 -2.6765335e+00  6.9747486e+00 -2.9710021e+00 -2.5895178e+00
  7.0027113e+00  8.6641365e-01 -3.4759538e+00 -1.8866131e+00
  2.1708741e+00 -6.3044745e-01  1.2557330e+00  4.6781430e-01
 -3.8123438e-01 -1.3424443e+00  5.7796872e-01 -1.2961931e+00
 -2.5407331e+00  2.3906908e+00 -1.1265488e+00 -5.9531718e-01]",cliswa,0
"[-4.3453595e+02  1.3237169e+02 -1.0535982e+02  3.0331165e+01
 -3.0400423e+01  2.5198174e+00 -1.2454810e+01  1.3838881e+01
 -3.8593314e+00 -2.4004228e+00  6.4995551e+00 -7.6641617e+00
  1.4397345e+01 -5.5507531e+00  4.6841464e+00 -3.9043596e+00
  1.8670273e+00  1.9589012e+00 -1.6686209e+00  7.6223981e-01
 -2.8556273e+00  6.4906998e+00 -3.5255213e+00  1.4097931e+00
  2.0385082e+00  3.2064781e+00 -2.6108575e+00 -2.1191351e+00
  1.7820820e+00 -1.7247176e+00  2.2981334e+00 -2.4900089e-01
  1.6024854e+00 -1.7726502e+00  1.1683041e+00 -1.2576267e+00
 -1.6968739e+00  1.0358899e+00 -1.0848533e+00  8.9582458e-02]",cliswa,0
"[-4.2194064e+02  1.1954328e+02 -1.1259305e+02  4.0792915e+01
 -3.2890297e+01  5.5168543e+00 -7.5982552e+00  1.2554982e+01
 -1.1495932e+00 -3.7962048e+00  5.3180609e+00 -7.0804024e+00
  1.6493748e+01 -4.6795325e+00  4.0028200e+00 -3.5678773e+00
 -5.7846207e-02  7.2256768e-01 -4.6517518e-01  2.5097849e+00
 -5.9411559e+00  5.9847312e+00 -2.9060922e+00 -1.1785008e+00
  3.3228753e+00  1.6871337e+00 -3.5884502e+00 -5.2008617e-01
  7.3716515e-01 -1.2959924e+00  2.5125480e+00 -1.8322980e+00
  7.0491385e-01 -2.5763714e+00  1.5258721e+00 -1.9212513e+00
 -3.0750058e+00  2.4475243e+00 -1.3901404e+00  4.1230835e-02]",cliswa,0
"[-4.0255109e+02  1.1067589e+02 -9.3652481e+01  1.2079213e+01
 -1.8951635e+01 -4.5471096e+00 -6.1358981e+00  5.7466421e+00
  9.4700062e-01 -3.2230353e+00  2.3982172e+00 -7.7166839e+00
  1.0598109e+01 -1.1464052e+00  5.2591331e-02 -7.6031819e-02
 -9.2859888e-01  8.8409066e-01 -2.1902511e+00  8.6838269e-01
 -2.8513587e+00  3.7208645e+00 -2.3673050e+00 -5.3040129e-01
  3.5739245e+00  3.3845177e-01 -1.5705334e-02 -1.9270166e+00
  1.2260181e+00 -7.6620036e-01  4.9887714e-01 -1.3290960e-01
 -8.0359435e-01 -4.4923362e-01 -1.8494622e-01 -7.4314123e-01
 -2.0534096e+00  7.5508267e-01 -5.4310781e-01  6.4034706e-01]",cliswa,0
"[-4.12899414e+02  1.26283897e+02 -1.02888435e+02  2.69710350e+00
 -1.57745094e+01  2.10450530e+00 -9.28230000e+00  9.34731293e+00
  1.33779144e+00 -2.20200706e+00  1.89563859e+00 -7.92163467e+00
  1.37548351e+01 -1.35713887e+00 -1.83465922e+00 -3.92684937e+00
  4.37132418e-01  2.65760016e+00 -6.03724003e-01 -8.63700628e-01
 -3.28905916e+00  4.71907949e+00 -4.71603680e+00 -2.90576845e-01
  2.54781151e+00  1.73798609e+00 -1.32175052e+00 -2.51584888e+00
  3.44190788e+00 -2.15712667e+00  6.88832521e-01  5.11571407e-01
 -3.61464947e-01 -7.60706007e-01  2.02810928e-01 -2.89665610e-01
 -2.22060800e+00  1.84975475e-01 -9.79692698e-01  9.19993222e-01]",cliswa,0
"[-4.07274597e+02  1.25369568e+02 -1.13138466e+02  1.52731276e+01
 -1.86621246e+01 -2.55225301e+00 -8.90044689e+00  1.25625620e+01
 -8.53034556e-01  1.93841994e+00  1.86722219e+00 -1.27184572e+01
  1.35527544e+01 -5.74495125e+00  1.52768815e+00 -1.88047373e+00
 -1.17681336e+00  3.26724744e+00  5.62052369e-01  1.18683195e+00
 -3.83996892e+00  4.43532848e+00 -4.34689426e+00 -9.22780573e-01
  2.23392129e+00  2.66964149e+00 -1.00691426e+00 -2.46293235e+00
  2.90645289e+00 -1.47492373e+00  1.26270139e+00 -7.23131835e-01
  4.11574729e-02 -5.97825289e-01  3.85239005e-01  2.86813706e-01
 -1.76378703e+00 -2.98413575e-01 -1.59485412e+00  1.29714847e+00]",cliswa,0
"[-3.96642731e+02  1.16286385e+02 -1.13965042e+02  1.38893490e+01
 -1.60320835e+01 -2.01349092e+00 -5.71352005e+00  9.19013309e+00
  3.21343994e+00 -2.38964796e+00  4.00470167e-01 -8.22230530e+00
  1.29929428e+01 -3.90379095e+00 -1.29256999e+00 -1.45227265e+00
 -2.95501328e+00  2.40245700e+00  6.11146390e-01 -2.11966991e-01
 -2.89013815e+00  4.22223568e+00 -3.57271290e+00 -1.65242124e+00
  2.82952380e+00  2.60439682e+00 -1.70003748e+00 -1.79068184e+00
  1.81617951e+00 -2.98943138e+00  7.58791268e-01  2.12064460e-01
  1.25391293e+00 -1.43081379e+00  3.29981029e-01  7.51611769e-01
 -3.45871949e+00  1.12575781e+00 -8.51005912e-01  6.15287185e-01]",cliswa,0
"[-4.1681842e+02  1.2915706e+02 -1.0080836e+02  3.8071332e+00
 -1.2633281e+01 -4.0932331e+00 -6.6426649e+00  8.6646519e+00
 -6.6123945e-01 -2.1027989e+00  1.3245640e+00 -6.8686519e+00
  1.1755736e+01 -2.2317867e+00  1.5884689e+00 -1.0092820e+00
 -2.0618596e+00  1.8290462e+00 -1.2982564e+00  2.3591461e-02
 -1.0897924e+00  3.4187169e+00 -4.1398182e+00 -5.7241446e-01
  2.4752605e+00  2.4385254e+00 -9.4074404e-01 -1.9404507e+00
  2.2366018e+00 -2.4512792e+00  5.0825769e-01 -2.1566100e-01
  3.3629304e-01 -8.3796555e-01 -4.3496571e-02 -1.4895138e-01
 -2.6508896e+00  7.3703760e-01 -1.3920001e+00  7.5843716e-01]",cliswa,0
